"FILE_ID","FILE_NAME","LOCATION","ELAPSED_TIME","SPECIES","DIFFICULTY_LEVEL","updated_by","updated_on","created_by","created_on"
1334,"2595",,5,"106","2",aws_user,2015-09-01 18:22:54.590,aws_user,2015-09-01 18:22:54.590
1335,"2600",,10,"106","1",aws_user,2015-09-01 18:22:54.613,aws_user,2015-09-01 18:22:54.613
1336,"2605",,10,"106","1",aws_user,2015-09-01 18:22:54.637,aws_user,2015-09-01 18:22:54.637
1337,"2608",,5,"106","2",aws_user,2015-09-01 18:22:54.663,aws_user,2015-09-01 18:22:54.663
1338,"2618",,3,"106","3",aws_user,2015-09-01 18:22:54.690,aws_user,2015-09-01 18:22:54.690
1339,"2621",,3,"106","3",aws_user,2015-09-01 18:22:54.713,aws_user,2015-09-01 18:22:54.713
1340,"2622",,5,"106","2",aws_user,2015-09-01 18:22:54.740,aws_user,2015-09-01 18:22:54.740
1341,"2625",,10,"106","1",aws_user,2015-09-01 18:22:54.763,aws_user,2015-09-01 18:22:54.763
1342,"2631",,3,"406","3",aws_user,2015-09-01 18:22:54.787,aws_user,2015-09-01 18:22:54.787
1343,"2649",,3,"110","3",aws_user,2015-09-01 18:22:54.810,aws_user,2015-09-01 18:22:54.810
1344,"2657",,10,"110","1",aws_user,2015-09-01 18:22:54.837,aws_user,2015-09-01 18:22:54.837
1345,"2660",,10,"110","1",aws_user,2015-09-01 18:22:54.860,aws_user,2015-09-01 18:22:54.860
1346,"2666",,10,"106","1",aws_user,2015-09-01 18:22:54.887,aws_user,2015-09-01 18:22:54.887
1347,"2678",,10,"406","1",aws_user,2015-09-01 18:22:54.910,aws_user,2015-09-01 18:22:54.910
1348,"2703",,10,"110","1",aws_user,2015-09-01 18:22:54.980,aws_user,2015-09-01 18:22:54.980
1349,"2705",,10,"110","1",aws_user,2015-09-01 18:22:55.050,aws_user,2015-09-01 18:22:55.050
1350,"2724",,5,"110","2",aws_user,2015-09-01 18:22:55.117,aws_user,2015-09-01 18:22:55.117
1351,"2729",,5,"110","2",aws_user,2015-09-01 18:22:55.160,aws_user,2015-09-01 18:22:55.160
1352,"2732",,3,"110","3",aws_user,2015-09-01 18:22:55.183,aws_user,2015-09-01 18:22:55.183
1353,"2746",,3,"103","3",aws_user,2015-09-01 18:22:55.210,aws_user,2015-09-01 18:22:55.210
1354,"2783",,5,"102","2",aws_user,2015-09-01 18:22:55.237,aws_user,2015-09-01 18:22:55.237
1355,"2799",,3,"102","3",aws_user,2015-09-01 18:22:55.260,aws_user,2015-09-01 18:22:55.260
1356,"2808",,5,"102","2",aws_user,2015-09-01 18:22:55.287,aws_user,2015-09-01 18:22:55.287
1357,"2828",,10,"105","1",aws_user,2015-09-01 18:22:55.320,aws_user,2015-09-01 18:22:55.320
