"MLog","Name","Primary","CreateBy","CreateDate","UpdateBy","UpdateDate"
309,Brian,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
309,Brian/Bryan,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
309,Bryan,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
310,Sinker,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
312,Scott,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
313,Buffet,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
313,Buffett,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
314,Lynda,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
315,Moriah,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
315,Myriah,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
315,Myriah/Moriah,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
316,MD Myers,1,D,2009-07-09 10:09:34.327,csandersre,2009-09-02 14:09:38.310
317,J St. James,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
317,St. James,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
319,Helga,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
321,Mo,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
323,Star,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
326,Chessie,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
327,DB,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
327,Stoneman,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
327,Stoneman/DB,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
328,Bessey,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
328,Bessie,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
328,Bessie/Bessey,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
329,Taylor,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
330,Ken,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
330,Ken/Noah,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
330,Noah,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
330,Noah/Ken,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
332,Riviera,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
333,Xoshi,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
334,Rosie's calf 3,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
335,Lucie,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
337,Hunter,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
340,Hook,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
341,April,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
343,RPM,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
344,Clover,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
345,Aurora,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
347,Roseanne,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
348,Darlene,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
349,Mystic,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
350,Douglas,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
352,Phantom,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
355,Romeo,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
356,Ranger,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
357,J Myakka,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
357,Myakka,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
358,Woody,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
359,Willouby,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
359,Willoughby,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
360,Gemp,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
360,Jemp,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
360,Jemp/Gemp,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
361,Liberty II,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
362,Kato,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
366,Corky,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
369,Stubby,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
371,Oakley,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
372,Holly,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
373,Brooke,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
373,J Brooke,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
374,JS Springs,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
375,Imperial,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
375,J Imperial,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
375,J Imperial/RC,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
375,RC,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
376,"02",1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
377,Aerial's calf,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
378,Fester,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
379,Roca,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
380,Margarito,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
380,Margarito/Marguerto,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
380,Marguerto,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
381,F Franklin,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
381,F Franklin/Lucky Frank,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
381,Franklin,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
381,Lucky Frank,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
382,Wachee,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
383,M Yankee Beach,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
383,Yankee Beach,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
384,A Gabby,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
384,Gabby,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
385,April Point,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
386,A Englewood,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
386,Englewood,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
387,A Bokeelia,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
387,A Bokeelia/Bo,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
387,Bo,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
387,Bokeelia,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
389,Carlos,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
389,M Carlos,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
390,Cinco de Mayo,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
391,Englewood's baby,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
392,Kendall,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
396,Minnie,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
397,Vail / Vale,1,D,2009-07-09 10:09:34.327,dszemer,2013-09-18 10:10:37.963
398,Lydia,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
400,Lydia's calf,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
403,Neptune,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
403,O Neptune,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
404,Matlacha,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
405,Mattie,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
405,O Mattie,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
406,D Little Salty,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
406,Little Salty,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
407,D Dahoon,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
407,D Dahoon/DD,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
407,Dahoon,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
407,DD,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
408,Sweet Pea,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
410,Lorelei calf,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
411,Electra,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
412,Harvey,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
413,Betsy,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
414,Tiny Tim,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
415,Lucille,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
416,Bayboro,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
416,J Bayboro,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
417,Gaia,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
418,Rosie calf 1,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
421,Geronomo,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
424,Spele,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
426,Comet,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
427,Rosie calf 2,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
428,Mercury,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
429,Snorkel,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
430,Bonnie,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
433,Christine,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
434,Juliet,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
434,Juliette,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
436,Shawn,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
438,Jeb,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
440,Jax,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
442,Pistachio,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
443,Titus,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
444,J Mullet,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
444,Mullet,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
