"MLog","RescueDate","RescuePerDay","Gear","GearDesc","EntLoc","CreateBy","CreateDate","UpdateBy","UpdateDate"
189,1982-04-12 00:00:00.000,1,Crab,,Unknown,bwagoner,1982-04-12 00:00:00.000,D,2009-07-09 10:09:34.327
191,1982-05-19 00:00:00.000,1,Crab,,Unknown,bwagoner,1982-05-19 00:00:00.000,D,2009-07-09 10:09:34.327
193,1983-06-28 00:00:00.000,1,Crab,,Unknown,bwagoner,1983-06-28 00:00:00.000,D,2009-07-09 10:09:34.327
194,1983-08-19 00:00:00.000,1,Crab,,Unknown,bwagoner,1983-08-19 00:00:00.000,D,2009-07-09 10:09:34.327
195,1983-11-13 00:00:00.000,1,Crab,,Unknown,bwagoner,1983-11-13 00:00:00.000,D,2009-07-09 10:09:34.327
197,1984-05-13 00:00:00.000,1,Crab,,Unknown,bbonde,1990-09-03 00:00:00.000,D,2009-07-09 10:09:34.340
199,1989-07-20 00:00:00.000,1,Crab,,Unknown,jpearson,1989-07-20 00:00:00.000,D,2009-07-09 10:09:34.340
199,1997-01-27 00:00:00.000,1,Crab,,Unknown,mross,1997-02-06 00:00:00.000,D,2009-07-09 10:09:34.340
248,1991-01-06 00:00:00.000,1,Crab,,Unknown,cshaw,1991-11-06 00:00:00.000,D,2009-07-09 10:09:34.340
254,1992-02-21 00:00:00.000,1,Mono,,Unknown,bwagoner,1992-02-24 00:00:00.000,D,2009-07-09 10:09:34.340
258,2008-05-20 00:00:00.000,1,Oth, trotline wrapped in tag,telemetry gear,aspellman,2008-05-10 00:00:00.000,D,2009-07-09 10:09:34.340
259,1992-04-18 00:00:00.000,1,Crab,,Unknown,lsalisbury,1992-04-20 00:00:00.000,D,2009-07-09 10:09:34.340
262,1992-05-12 00:00:00.000,1,Crab,,Unknown,rrunnells,1992-05-13 00:00:00.000,D,2009-07-09 10:09:34.340
266,1980-06-27 00:00:00.000,1,Crab,,Unknown,bwagoner,1980-06-27 00:00:00.000,D,2009-07-09 10:09:34.340
271,1992-07-10 00:00:00.000,1,Crab,,Unknown,jhoyo,1992-07-12 00:00:00.000,D,2009-07-09 10:09:34.340
273,1992-08-06 00:00:00.000,1,Mono,,Unknown,bwagoner,1992-08-10 00:00:00.000,D,2009-07-09 10:09:34.340
289,1993-01-06 00:00:00.000,1,Crab,,Unknown,lsalisbury,1993-01-08 00:00:00.000,D,2009-07-09 10:09:34.340
297,1993-07-05 00:00:00.000,1,Mono,,Unknown,aspellman,1993-07-07 00:00:00.000,D,2009-07-09 10:09:34.340
297,2005-06-07 00:00:00.000,1,Rope,,Left pect,bwagoner,2005-06-30 00:00:00.000,D,2009-07-09 10:09:34.340
299,1993-08-07 00:00:00.000,1,FH,,Unknown,bwagoner,1993-08-09 00:00:00.000,D,2009-07-09 10:09:34.340
310,1993-07-01 00:00:00.000,1,Crab,,Unknown,unk,1993-07-01 00:00:00.000,D,2009-07-09 10:09:34.340
312,1994-03-06 00:00:00.000,1,Mono,monofilament and anchor line ,left flipper & around body,bwagoner,1994-03-07 00:00:00.000,dszemer,2014-03-20 08:48:39.310
312,1994-03-06 00:00:00.000,1,Oth,anchor line,left flipper & around body,dszemer,2014-03-20 08:50:44.590,D,2014-03-20 08:50:44.590
312,2001-04-10 00:00:00.000,1,Mono,,"Left pectoral Flipper, embedded deeply",pcook,2001-04-12 00:00:00.000,D,2009-07-09 10:09:34.340
312,2009-10-24 00:00:00.000,1,Mono,Medium weight green monofilament,tip of left flipper,chudak,2009-10-30 15:30:22.893,D,2009-10-30 15:30:22.893
312,2012-02-21 00:00:00.000,1,Mono,"",left flipper,dszemer,2015-09-24 13:01:54.690,D,2015-09-24 13:01:54.690
312,2013-03-06 00:00:00.000,1,Mono,Embedded monofilament line,left flipper,lconnor,2014-01-22 10:50:08.357,dszemer,2015-09-24 12:36:38.853
312,2013-04-09 00:00:00.000,1,Mono,Embedded monofilament line,left flipper,lconnor,2014-01-23 14:23:05.637,dszemer,2015-09-24 13:12:09.853
312,2014-08-31 00:00:00.000,1,Mono,"monofilament, metal line, chum bag",left flipper,dszemer,2016-01-15 11:58:39.850,D,2016-01-15 11:58:39.850
312,2020-02-04 00:00:00.000,1,Mono,"",Left and right flippers each have monofilament embedded deeply,jheyde,2020-02-10 15:00:46.520,D,2020-02-10 15:00:46.520
315,2002-05-13 00:00:00.000,1,Mono,,Head and mouth area,rrunnells,2002-05-15 00:00:00.000,D,2009-07-09 10:09:34.340
321,2006-09-27 00:00:00.000,1,Rope,,Unknown,dszemer,2006-09-27 00:00:00.000,D,2009-07-09 10:09:34.340
333,2000-06-25 00:00:00.000,1,Oth,Unknown,Unknown,amusante,2000-06-30 00:00:00.000,D,2009-07-09 10:09:34.340
340,1995-03-29 00:00:00.000,1,FH,,Unknown,aspellman,1995-03-30 00:00:00.000,D,2009-07-09 10:09:34.340
342,1995-04-04 00:00:00.000,1,Oth,Unknown,Unknown,swright,1995-04-13 00:00:00.000,D,2009-07-09 10:09:34.340
347,1995-04-25 00:00:00.000,1,Crab,,Unknown,rrunnells,1995-04-26 00:00:00.000,D,2009-07-09 10:09:34.340
357,1995-06-05 00:00:00.000,1,Crab,,Unknown,swinslow,1995-06-05 00:00:00.000,D,2009-07-09 10:09:34.340
358,1995-06-16 00:00:00.000,1,Crab,,Unknown,rrunnells,1995-06-17 00:00:00.000,D,2009-07-09 10:09:34.340
361,1995-07-04 00:00:00.000,1,Crab,,Unknown,aspellman,1995-07-06 00:00:00.000,D,2009-07-09 10:09:34.340
362,1995-07-21 00:00:00.000,1,Mono,,Unknown,boucher,1995-07-21 00:00:00.000,D,2009-07-09 10:09:34.340
372,2012-07-04 00:00:00.000,1,Net,Cast net,"unclear if it was around the whole body, or just the transmitter",crush,2012-08-03 15:26:52.627,D,2012-08-03 15:26:52.627
380,1996-02-08 00:00:00.000,1,Mono,,Unknown,bwagoner,1996-02-08 00:00:00.000,D,2009-07-09 10:09:34.340
