"MLog","ReqHalfYr","ReqYear","Health","HealthDiag","Bloods","Status","Time","Weight","EstW","WDate","Length","EstL","LDate","VetID","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
1117,"1",2010,S,Flipper fell of during rescue but her bone had to be further trimmed back to allow healing. She should be ready fairly soon.,N,Release,W,545,Y,2009-12-16 00:00:00.000,293,N,2009-12-16 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-02-10 12:17:40.253,D,2010-02-10 12:17:40.253
1121,"1",2010,G,Her spine was fractured and displaced by a boat and although she uses her paddle gets through the water column readily but later suffered major blood loss. Since displaced vertebrae cutting into her vertebral vessels prognosis guarded.,A,CondRel,W,340,Y,2009-12-29 00:00:00.000,245,N,2009-12-29 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-02-10 12:25:00.590,D,2010-02-10 12:25:00.590
1121,"1",2011,G,stable,N,CondRel,G,295,N,2010-03-24 00:00:00.000,256,N,2010-10-21 00:00:00.000,mrodriguez,MSQ,mrodriguez,2011-03-04 13:54:49.537,D,2011-03-04 13:54:49.537
1121,"1",2012,S,"stable, had a rough summer",N,CondRel,G,483,N,2011-09-14 00:00:00.000,270,N,2011-09-26 00:00:00.000,mrodriguez,MSQ,mrodriguez,2012-02-29 13:44:53.510,D,2012-02-29 13:44:53.510
1121,"1",2013,S,back still displaced responded well to round of analgesics.,X,CondNon,G,483,N,2011-09-14 00:00:00.000,270,N,2011-09-26 00:00:00.000,mrodriguez,MSQ,mrodriguez,2013-03-06 09:10:30.910,D,2013-03-06 09:10:30.910
1121,"1",2014,S,"back still displaced responded well to round of analgesics.
muscle enzymes slightly elevated and also SAA slightly elevated",A,CondNon,G,483,N,2011-09-14 00:00:00.000,270,N,2011-09-26 00:00:00.000,mrodriguez,MSQ,mrodriguez,2014-04-03 08:56:52.063,D,2014-04-03 08:56:52.063
1121,"1",2019,S,spine fractured and displaced,X,CondNon,G,549,N,2014-09-10 00:00:00.000,290,Y,2019-03-08 00:00:00.000,mrodriguez,MSQ,mrodriguez,2019-03-08 11:42:00.397,D,2019-03-08 11:42:00.397
1121,"2",2010,G,G,A,CondRel,G,295,N,2010-03-24 00:00:00.000,245,N,2009-12-29 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-08-06 11:14:33.837,nadimey,2010-08-24 11:58:22.250
1121,"2",2011,G,stable,N,CondRel,G,400,Y,2011-07-27 00:00:00.000,245,N,2009-12-29 00:00:00.000,mrodriguez,MSQ,mrodriguez,2011-07-28 11:45:27.390,D,2011-07-28 11:45:27.390
1121,"2",2012,S,back still displaced responded well to round of analgesics.,N,CondNon,G,484,N,2011-09-14 00:00:00.000,270,N,2011-09-14 00:00:00.000,mrodriguez,MSQ,mrodriguez,2012-08-07 13:32:27.327,D,2012-08-07 13:32:27.327
1121,"2",2013,S,back still displaced responded well to round of analgesics.,X,CondNon,G,490,Y,2013-07-23 00:00:00.000,280,Y,2013-07-23 00:00:00.000,mrodriguez,MSQ,mrodriguez,2013-07-23 13:41:55.960,D,2013-07-23 13:41:55.960
1121,"2",2014,S,"spine displaced, slightly elevated SAA",A,CondNon,G,484,N,2011-09-14 00:00:00.000,270,N,2011-09-26 00:00:00.000,mrodriguez,MSQ,mrodriguez,2014-07-29 13:17:25.580,D,2014-07-29 13:17:25.580
1121,"2",2015,S,"spine displaced, slightly elevated SAA",A,CondNon,G,549,N,2014-09-10 00:00:00.000,287,N,2015-07-31 00:00:00.000,mrodriguez,MSQ,mrodriguez,2015-08-05 12:13:34.547,D,2015-08-05 12:13:34.547
1124,"1",2010,C,Pyothorax possible pyoabdomen.,A,CondRel,G,363,Y,2009-01-08 00:00:00.000,260,N,2009-01-08 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-02-10 12:28:33.387,D,2010-02-10 12:28:33.387
1130,"1",2010,S,manatee is in good behavioral and physical health,X,CondRel,G,195,N,2010-02-10 00:00:00.000,217,N,2010-02-10 00:00:00.000,dmurphy,LPZ,vedmonds,2010-02-18 21:45:08.857,D,2010-02-18 21:45:08.857
1130,"2",2010,S,manatee is in good behavioral and physical health. Could reach weight requirements for 2011 winter release.,X,CondRel,G,235,Y,2010-08-11 00:00:00.000,236,Y,2010-08-11 00:00:00.000,mcampbell,CIN,mcampbell,2010-08-11 20:39:27.373,D,2010-08-11 20:39:27.373
1131,"1",2010,G,"Orphaned calf/cold stress, still too small for release, would like to see her appetite increase and show a steady 
weight gain. Has a marked increase in her monocytes.",A,CondRel,G,120,N,2010-02-10 00:00:00.000,175,N,2010-02-10 00:00:00.000,sgearhart,SWF,bwagoner,2010-02-14 15:27:34.880,D,2010-02-14 15:27:34.880
1131,"1",2011,S,S,N,Release,W,240,N,2011-02-01 00:00:00.000,216,N,2011-02-01 00:00:00.000,gmyers,COL,dwarmolts,2011-02-07 11:04:22.153,nadimey,2011-03-14 08:57:40.567
