"MLog","TagType","DateApplied","TagId","Info","Event","EventDate","CreateBy","CreateDate","UpdateBy","UpdateDate"
8515,Pit-R,2023-02-27 00:00:00.000,"0008056B1D",,"",,mlippincot,2023-06-30 11:21:52.423,D,2023-06-30 11:21:52.423
8517,Pit-L,2022-07-27 00:00:00.000,"00080569EF",,Rescue,2021-12-03 00:00:00.000,lbraso,2022-07-27 07:37:20.083,D,2022-07-27 07:37:20.083
8517,Pit-R,2022-07-27 00:00:00.000,"0008055CF4",,Rescue,2021-12-03 00:00:00.000,lbraso,2022-07-27 07:38:13.777,D,2022-07-27 07:38:13.777
8518,FB,2023-10-20 00:00:00.000,"72",,"",,lbraso,2023-10-29 06:19:38.220,D,2023-10-29 06:19:38.220
8518,Pit-L,2022-01-16 00:00:00.000,"0008056E74",,"",,lbraso,2022-01-17 09:51:28.997,D,2022-01-17 09:51:28.997
8518,Pit-R,2022-01-16 00:00:00.000,"0007CE8B9C",,"",,lbraso,2022-01-17 09:52:25.863,D,2022-01-17 09:52:25.863
8519,Pit-L,2022-01-08 00:00:00.000,"0007CEDDAA",,"",,lbraso,2022-01-11 07:21:27.150,D,2022-01-11 07:21:27.150
8519,Pit-R,2022-01-08 00:00:00.000,"0007F5C0AE",,"",,lbraso,2022-01-11 07:22:11.630,D,2022-01-11 07:22:11.630
8520,Pit-L,2022-01-26 00:00:00.000,"0007CE94OE",,"",,cmiller,2022-01-31 16:13:06.517,D,2022-01-31 16:13:06.517
8520,Pit-R,2022-01-26 00:00:00.000,"0007F5C379",,"",,cmiller,2022-01-31 16:14:02.057,D,2022-01-31 16:14:02.057
8521,Pit-L,2022-03-09 00:00:00.000,"0008058255",PIT LF,Rescue,2021-12-26 00:00:00.000,lbraso,2022-03-13 07:20:30.883,D,2022-03-13 07:20:30.883
8521,Pit-R,2022-03-09 00:00:00.000,"0008055DAD",PIT RT,Rescue,2021-12-26 00:00:00.000,lbraso,2022-03-13 07:21:05.247,D,2022-03-13 07:21:05.247
8522,Pit-L,2022-07-20 00:00:00.000,"0007CE905C",,"",,cmiller,2022-07-21 14:06:19.347,D,2022-07-21 14:06:19.347
8522,Pit-R,2022-07-20 00:00:00.000,"0007CED78C",,"",,cmiller,2022-07-21 14:05:37.227,D,2022-07-21 14:05:37.227
8523,Pit-L,2022-03-31 00:00:00.000,"0007AC8BB3",,"",,cmiller,2022-03-31 15:17:18.210,D,2022-03-31 15:17:18.210
8523,Pit-R,2022-03-31 00:00:00.000,"0007AC58D3",,"",,cmiller,2022-03-31 15:16:20.250,D,2022-03-31 15:16:20.250
8524,Pit-L,2022-01-08 00:00:00.000,"0007CED729",,"",,lbraso,2022-01-11 07:25:59.763,D,2022-01-11 07:25:59.763
8524,Pit-R,2022-01-08 00:00:00.000,"0007F5D59E",,"",,lbraso,2022-01-11 07:26:49.190,D,2022-01-11 07:26:49.190
8525,Pit-L,2022-02-10 00:00:00.000,"0008056158",,"",,lbraso,2022-02-13 07:31:39.303,D,2022-02-13 07:31:39.303
8525,Pit-R,2022-02-10 00:00:00.000,"0008056951",,"",,lbraso,2022-02-13 07:32:15.967,D,2022-02-13 07:32:15.967
8527,Pit-L,2022-02-10 00:00:00.000,"0008056334",,"",,lbraso,2022-02-13 07:33:22.317,D,2022-02-13 07:33:22.317
8527,Pit-R,2022-02-10 00:00:00.000,"0007F5C139",,"",,lbraso,2022-02-13 07:34:03.123,D,2022-02-13 07:34:03.123
9532,Pit-L,2022-03-09 00:00:00.000,"0008055D5E",LF PIT,Rescue,2022-01-27 00:00:00.000,lbraso,2022-03-13 07:18:36.100,D,2022-03-13 07:18:36.100
9532,Pit-R,2022-03-09 00:00:00.000,"0008055EC9",PIT RT,Rescue,2022-01-27 00:00:00.000,lbraso,2022-03-13 07:19:21.440,D,2022-03-13 07:19:21.440
9534,Pit-L,2022-01-31 00:00:00.000,"0007F5C3C6",,Rescue,2022-01-31 00:00:00.000,bgreer,2022-02-03 13:08:21.393,D,2022-02-03 13:08:21.393
9534,Pit-R,2022-01-31 00:00:00.000,"0007F5D511",,Rescue,2022-01-31 00:00:00.000,bgreer,2022-02-03 13:08:21.400,D,2022-02-03 13:08:21.400
9534,Satellite,2022-01-31 00:00:00.000,"158608",CMARI tag. Tagged by Monica Ross and Nicole Bartlett.,"",,bgreer,2022-02-03 13:12:55.497,D,2022-02-03 13:12:55.497
9536,Pit-L,2022-03-21 00:00:00.000,"0008055EEB",,Rescue,2022-02-03 00:00:00.000,lbraso,2022-03-25 11:58:43.447,D,2022-03-25 11:58:43.447
9536,Pit-R,2022-03-21 00:00:00.000,"0008056EEF",,Rescue,2022-02-03 00:00:00.000,lbraso,2022-03-25 11:59:21.130,D,2022-03-25 11:59:21.130
9537,Pit-L,2022-02-10 00:00:00.000,"0007F5CF45",,"",,lbraso,2022-02-13 07:35:14.900,D,2022-02-13 07:35:14.900
9537,Pit-R,2022-02-10 00:00:00.000,"00080562A3",,"",,lbraso,2022-02-13 07:35:50.060,D,2022-02-13 07:35:50.060
9538,Pit-L,2022-03-21 00:00:00.000,"0008055CA4",,Rescue,2022-02-04 00:00:00.000,lbraso,2022-03-25 12:00:18.507,D,2022-03-25 12:00:18.507
9538,Pit-R,2022-03-21 00:00:00.000,"00080568A2",,Rescue,2022-02-04 00:00:00.000,lbraso,2022-03-25 12:00:55.890,D,2022-03-25 12:00:55.890
